Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at
One of history’s few iron laws is that luxuries tend to become necessities and to spawn new obligations.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,6,2020-04-16 19:32:49.333442+00:00
This discrepancy between evolutionary success and individual suffering is perhaps the most important lesson we can draw from the Agricultural Revolution.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,5,2020-04-16 19:32:49.333354+00:00
History is something that very few people have been doing while everyone else was ploughing fields and carrying water buckets.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,4,2020-04-16 19:32:49.333260+00:00
"So, monotheism explains order, but is mystified by evil. Dualism explains evil, but is puzzled by order. There is one logical way of solving the riddle: to argue that there is a single omnipotent God who created the entire universe – and He’s evil. But nobody in history has had the stomach for such a belief.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,3,2020-04-16 19:32:49.333182+00:00
"There are no gods in the universe, no nations, no money, no human rights, no laws, and no justice outside the common imagination of human beings.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,2,2020-04-16 19:32:49.333086+00:00
There was never a single trunk population in the human past. It has been mixtures all the way down.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,17,2020-09-04 04:11:54.046381+00:00
"Despite extraordinary geographic distance, populations in the Amazon share ancestry with Australians, New Guineans, and Andamanese to a greater extent than with other Eurasians. This may reflect an early movement of humans into the Americas from a source population that is no longer substantially represented in northeast Asia.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,16,2020-09-04 04:11:54.046290+00:00
The earliest human skeletons with “anatomically modern” features—defined as falling within the range of variation of all humans today with regard to having a globular brain case and other traits—date up to two hundred to three hundred thousand years ago and are all from Africa.,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,15,2020-09-04 04:11:54.046193+00:00
"We eventually estimated the separation between the Neanderthal and Denisovan ancestral populations to have occurred 470,000 to 380,000 years ago, and the separation between the common ancestral populations of both of these archaic groups and modern humans to have occurred 770,000 to 550,000 years ago.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,14,2020-09-04 04:11:54.046111+00:00
"When we tested diverse present-day human populations, we found Neanderthals to be about equally close to Europeans, East Asians, and New Guineans, but closer to all non-Africans than to all sub-Saharan Africans, including populations as different as West Africans and San hunter-gatherers from southern Africa.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,13,2020-09-04 04:11:54.046056+00:00
"What we had found was evidence that people in northern Europe, such as the French, are descended from a mixture of populations, one of which shared more ancestry with present-day Native Americans than with any other population living today.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,19,2020-09-04 04:11:54.046527+00:00
"We now know that nearly every group living today is the product of repeated population mixtures that have occurred over thousands and tens of thousands of years. Mixing is in human nature, and no one population is—or could be—“pure.”",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,18,2020-09-04 04:11:54.046461+00:00
"If Klein was right, it would be expected that there would be places in the genome, beyond mitochondrial DNA and the Y chromosome, where almost everyone shares a common ancestor within the last hundred thousand years. But these do not in fact seem to exist.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,12,2020-09-04 04:11:54.045972+00:00
"That is above and beyond the approximately 2 percent from Neanderthals. Thus in total, 5 to 8 percent of New Guinean ancestry comes from archaic humans. This is the largest known contribution of archaic humans to any present-day human population.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,11,2020-09-04 04:11:54.045879+00:00
"People like those at Stonehenge were building great temples to their gods, and tombs for their dead, and could not have known that within a few hundred years their descendants would be gone and their lands overrun. The extraordinary fact that emerges from ancient DNA is that just five thousand years ago, the people who are now the primary ancestors of all extant northern Europeans had not yet arrived.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,10,2020-09-04 04:11:54.045783+00:00
"Tracing back fifty thousand years in the past, our genome is scattered into more than one hundred thousand ancestral stretches of DNA, greater than the number of people who lived in any population at that time, so we inherit DNA from nearly everyone in our ancestral population who had a substantial number of offspring at times that remote in the past.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,6,2020-04-16 19:32:51.569874+00:00
"The higher the density of differences separating two genomes on any segment, the longer it has been since the segments shared a common ancestor as the mutations accumulate at a more or less constant rate over time.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,5,2020-04-16 19:32:51.569818+00:00
"What we call a “gene” consists of tiny fragments of these chains, typically around one thousand letters long, which are used as templates to assemble the proteins that do most of the work in cells.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,4,2020-04-16 19:32:51.569775+00:00
"The Neanderthals, who had evolved in Europe by around four hundred thousand years ago and are considered “archaic” in the sense that their skeletal shape did not fall within present-day human variation, went extinct in their last holdout of western Europe between about forty-one thousand and thirty-nine thousand years ago, within a few thousand years of the arrival of modern humans.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,3,2020-04-16 19:32:51.569730+00:00
"Twenty generations in the past, the number of ancestors is almost a thousand times greater than the number of ancestral stretches of DNA in a person’s genome, so it is a certainty that each person has not inherited any DNA from the great majority of his or her actual ancestors.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,2,2020-04-16 19:32:51.569656+00:00
"A great surprise that emerges from the genome revolution is that in the relatively recent past, human populations were just as different from each other as they are today, but that the fault lines across populations were almost unrecognizably different from today.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,1,2020-04-16 19:32:51.569588+00:00
"The world’s earliest known figurine is a roughly forty-thousand-year-old “lion-man” carved from a woolly mammoth tusk, found in Hohlenstein-Stadel in Germany.7 The approximately thirty-thousand-year-old drawings of pre–ice age beasts, found on the walls of Chauvet Cave in France, even today are recognizable as transcendent art.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,,0,2020-04-16 19:32:51.569496+00:00
"The intensification of evidence for modern human behavior after fifty thousand years ago is undeniable, and raises the question of whether biological change contributed to it.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,9,2020-04-16 19:32:51.570085+00:00
"The problem is not just that people have mixed with their neighbors, blurring the genetic signatures of past events. It is actually far more difficult, in that we now know, from ancient DNA, that the people who live in a particular place today almost never exclusively descend from the people who lived in the same place far in the past.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,discard,order,8,2020-04-16 19:32:51.570020+00:00
"Thus there must have been not one, not two, but at least three major migrations into the open Pacific, with the first migration bringing East Asian ancestry and the Lapita pottery culture, and the later migrations bringing at least two different types of Papuan ancestry. So instead of a simple story, the spread of humans into the open Pacific was highly complex.",Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,B073NP8WT3,,,,order,7,2020-04-16 19:32:51.569951+00:00
"Our anxiety systems are very practical. They assume that anything you run away from is dangerous. The proof of that is, of course, the fact you ran away.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,19,2020-09-02 04:12:40.856708+00:00
"If you present yourself as defeated, then people will react to you as if you are losing. If you start to straighten up, then people will look at and treat you differently.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,,order,18,2020-09-02 04:12:40.856663+00:00
"If you betray yourself, if you say untrue things, if you act out a lie, you weaken your character. If you have a weak character, then adversity will mow you down when it appears, as it will, inevitably. You will hide, but there will be no place left to hide. And then you will find yourself doing terrible things.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,17,2020-09-02 04:12:40.856617+00:00
"You can only find out what you actually believe (rather than what you think you believe) by watching how you act. You simply don’t know what you believe, before that. You are too complex to understand yourself.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,,order,16,2020-09-02 04:12:40.856572+00:00
People are better at filling and properly administering prescription medication to their pets than to themselves.,12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,15,2020-09-02 04:12:40.856527+00:00
"Set your ambitions, even if you are uncertain about what they should be. The better ambitions have to do with the development of character and ability, rather than status and power. Status you can lose. You carry character with you wherever you go, and it allows you to prevail against adversity.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,,order,14,2020-09-02 04:12:40.856482+00:00
"Dare, instead, to be dangerous. Dare to be truthful. Dare to articulate yourself, and express (or at least become aware of) what would really justify your life.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,13,2020-09-02 04:12:40.856436+00:00
"Perhaps happiness is always to be found in the journey uphill, and not in the fleeting sense of satisfaction awaiting at the next peak.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,,order,12,2020-09-02 04:12:40.856386+00:00
"Compare yourself to who you were yesterday, not to who someone else is today.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,11,2020-09-02 04:12:40.856305+00:00
"Mark Twain once said, “It’s not what we don’t know that gets us in trouble. It’s what we know for sure that just ain’t so.”",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,10,2020-09-02 04:12:40.856210+00:00
What you aim at determines what you see.,12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,9,2020-04-16 19:32:49.566122+00:00
Because these really are rules. And the foremost rule is that you must take responsibility for your own life.,12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,8,2020-04-16 19:32:49.564851+00:00
It is far better to render Beings in your care competent than to protect them.,12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,7,2020-04-16 19:32:49.564767+00:00
Taking the easy way out or telling the truth—those are not merely two different choices. They are different pathways through life. They are utterly different ways of existing.,12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,6,2020-04-16 19:32:49.564678+00:00
"Cultivating judgment about the difference between virtue and vice is the beginning of wisdom, something that can never be out of date.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,5,2020-04-16 19:32:49.564599+00:00
But the story of the golden calf also reminds us that without rules we quickly become slaves to our passions—and there’s nothing freeing about that.,12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,4,2020-04-16 19:32:49.564522+00:00
"There is very little difference between the capacity for mayhem and destruction, integrated, and strength of character. This is one of the most difficult lessons of life.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,3,2020-04-16 19:32:49.564448+00:00
"Ideologies are simple ideas, disguised as science or philosophy, that purport to explain the complexity of the world and offer remedies that will perfect it. Ideologues are people who pretend they know how to “make the world a better place” before they’ve taken care of their own chaos within.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,2,2020-04-16 19:32:49.564371+00:00
"In the West, we have been withdrawing from our tradition-, religion- and even nation-centred cultures, partly to decrease the danger of group conflict. But we are increasingly falling prey to the desperation of meaninglessness, and that is no improvement at all.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,order,1,2020-04-16 19:32:49.564301+00:00
"So, attend carefully to your posture. Quit drooping and hunching around. Speak your mind. Put your desires forward, as if you had a right to them—at least the same right as others. Walk tall and gaze forthrightly ahead. Dare to be dangerous. Encourage the serotonin to flow plentifully through the neural pathways desperate for its calming influence.",12 Rules for Life: An Antidote to Chaos,"Jordan B. Peterson, Norman Doidge (Forward), Ethan Van Sciver (Illustrator)",B01FPGY5T0,,,discard,,0,2020-04-16 19:32:49.564139+00:00
"The greatest danger to American survival at midcentury, however, was neither class tension nor ethnic division. Rather it was sectional conflict between North and South over the future of slavery.",The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,17,2020-08-14 04:25:18.226086+00:00
"When the next president, Abraham Lincoln, was asked what he intended to do about the Mormons, he replied that since they were the least of his problems “I propose to let them alone.",The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,16,2020-08-14 04:25:18.226006+00:00
"Cotton from the American South grown mostly by slave labor furnished three-fourths of the world’s supply. Southern staples provided three-fifths of all American exports, earning foreign exchange that played an important part in American economic growth.",The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,,order,15,2020-08-14 04:25:18.225833+00:00
"Of 143 important inventions patented in the United States from 1790 to 1860, 93 percent came out of the free states and nearly half from New England alone—more than twice that region’s proportion of the free population.",The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,14,2020-08-14 04:25:18.225759+00:00
To travel from Cincinnati to New York took a minimum of three weeks; the only feasible way to ship freight between the same two cities was down the Ohio and Mississippi rivers to New Orleans and then by salt water along the Gulf and Atlantic coasts—a trip of at least seven weeks.,The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,13,2020-08-14 04:25:18.225685+00:00
"Therefore it was “an abuse of language” to call secession a revolution, said Jefferson Davis. We left the Union “to save ourselves from a revolution” that threatened to make “property in slaves so insecure as to be comparatively worthless.”",The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,12,2020-08-14 04:25:18.225603+00:00
This system enabled the New England textile industry to increase its annual output of cotton cloth from 4 million yards in 1817 to 308 million in 1837.,The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,20,2020-08-14 04:25:18.226310+00:00
Most congressmen came armed to the sessions; the sole exception seemed to be a former New England clergyman who finally gave in and bought a pistol for self-defense.,The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,19,2020-08-14 04:25:18.226232+00:00
Recent studies of slave marriages have found that about one-fourth of them were broken by owners or heirs who sold or moved husband or wife apart from the other.,The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,18,2020-08-14 04:25:18.226160+00:00
"Eternal vigilance against the tyrannical power of government remains the price of our negative liberties, to be sure. But it is equally true that the instruments of government power remain necessary to defend the equal justice under law of positive liberty.",The Illustrated Battle Cry of Freedom: The Civil War Era (Oxford History of the United States Book 6),James M. McPherson,B002NXOQLQ,,,discard,order,11,2020-08-14 04:25:18.225484+00:00
